v8-version,6,1,534,48,0
shared-library,"C:\Program Files\nodejs\node.exe",0x13fe70000,0x14148c000,0
shared-library,"C:\windows\SYSTEM32\ntdll.dll",0x77390000,0x7753a000,0
shared-library,"C:\windows\system32\kernel32.dll",0x77270000,0x7738f000,0
shared-library,"C:\windows\system32\KERNELBASE.dll",0x7fefd3d0000,0x7fefd43a000,0
shared-library,"C:\windows\System32\SYSFER.DLL",0x74d70000,0x74df9000,0
shared-library,"C:\windows\system32\WS2_32.dll",0x7fefd810000,0x7fefd85d000,0
shared-library,"C:\windows\system32\msvcrt.dll",0x7fefd770000,0x7fefd80f000,0
shared-library,"C:\windows\system32\RPCRT4.dll",0x7fefdcb0000,0x7fefdddd000,0
shared-library,"C:\windows\system32\NSI.dll",0x7fefdb30000,0x7fefdb38000,0
shared-library,"C:\windows\system32\WINMM.dll",0x7fef9f10000,0x7fef9f4b000,0
shared-library,"C:\windows\system32\USER32.dll",0x77170000,0x7726a000,0
shared-library,"C:\windows\system32\GDI32.dll",0x7fefdc40000,0x7fefdca7000,0
shared-library,"C:\windows\system32\LPK.dll",0x7fefdb40000,0x7fefdb4e000,0
shared-library,"C:\windows\system32\USP10.dll",0x7fefdb70000,0x7fefdc3b000,0
shared-library,"C:\windows\system32\ADVAPI32.dll",0x7feff5c0000,0x7feff69b000,0
shared-library,"C:\windows\SYSTEM32\sechost.dll",0x7fefdff0000,0x7fefe00f000,0
shared-library,"C:\windows\system32\IPHLPAPI.DLL",0x7fefb410000,0x7fefb437000,0
shared-library,"C:\windows\system32\WINNSI.DLL",0x7fefb3b0000,0x7fefb3bb000,0
shared-library,"C:\windows\system32\PSAPI.DLL",0x77560000,0x77567000,0
shared-library,"C:\windows\system32\USERENV.dll",0x7fefd2e0000,0x7fefd2fe000,0
shared-library,"C:\windows\system32\profapi.dll",0x7fefd090000,0x7fefd09f000,0
shared-library,"C:\windows\system32\IMM32.DLL",0x7fefdfc0000,0x7fefdfee000,0
shared-library,"C:\windows\system32\MSCTF.dll",0x7fefef20000,0x7feff029000,0
shared-library,"C:\windows\system32\api-ms-win-core-synch-l1-2-0.DLL",0x7fef7210000,0x7fef7213000,0
shared-library,"C:\windows\system32\powrprof.dll",0x7fefbea0000,0x7fefbecc000,0
shared-library,"C:\windows\system32\SETUPAPI.dll",0x7fefdde0000,0x7fefdfb7000,0
shared-library,"C:\windows\system32\CFGMGR32.dll",0x7fefd2a0000,0x7fefd2d6000,0
shared-library,"C:\windows\system32\OLEAUT32.dll",0x7feff150000,0x7feff22a000,0
shared-library,"C:\windows\system32\ole32.dll",0x7feff230000,0x7feff42c000,0
shared-library,"C:\windows\system32\DEVOBJ.dll",0x7fefd0c0000,0x7fefd0da000,0
shared-library,"C:\windows\system32\mswsock.dll",0x7fefc850000,0x7fefc8a5000,0
shared-library,"C:\windows\System32\wshtcpip.dll",0x7fefc220000,0x7fefc227000,0
shared-library,"C:\windows\System32\wship6.dll",0x7fefc840000,0x7fefc847000,0
shared-library,"C:\windows\system32\dbghelp.dll",0x7fef6740000,0x7fef6865000,0
profiler,"begin",1000
tick,0x773dbd7a,111240,0,0x0,4
tick,0x773dfba4,113283,0,0x0,4
tick,0x773fc7e6,128825,0,0x0,4
tick,0x7744ce39,144372,0,0x0,4
tick,0x773d936e,159988,0,0x0,4
tick,0x7744cd4d,175597,0,0x0,4
tick,0x773dd999,191234,0,0x0,4
tick,0x773dbfda,207019,0,0x0,4
tick,0x13fe82fce,207854,0,0x0,4
tick,0x773dbfda,208862,0,0x0,4
tick,0x1404d9c4a,209801,0,0x0,4
tick,0x1404d9bc9,210769,0,0x0,4
tick,0x1404d9b5e,211763,0,0x0,4
code-creation,Stub,3,211835,0x65f6d84000,510,"JSEntryStub"
code-creation,Stub,3,211845,0x65f6d84200,510,"JSEntryStub"
code-creation,Builtin,5,211850,0x65f6d84400,134,"EmptyFunction"
code-creation,Stub,3,211857,0x65f6d844a0,388,"CEntryStub"
code-creation,Builtin,5,211860,0x65f6d84640,139,"ConstructedNonConstructable"
code-creation,Stub,3,211863,0x65f6d846e0,388,"CEntryStub"
code-creation,Builtin,5,211866,0x65f6d84880,933,"CompileLazy"
code-creation,Stub,3,211868,0x65f6d84c40,1378,"RecordWriteStub"
code-creation,Stub,3,211871,0x65f6d851c0,170,"StoreBufferOverflowStub"
code-creation,Stub,3,211873,0x65f6d85280,1394,"RecordWriteStub"
code-creation,Builtin,5,211875,0x65f6d85800,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,211878,0x65f6d85980,1085,"FastNewObject"
code-creation,Builtin,5,211880,0x65f6d85dc0,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,211883,0x65f6d85f20,2274,"RecordWriteStub"
code-creation,Stub,3,211885,0x65f6d86820,390,"StoreBufferOverflowStub"
code-creation,Stub,3,211911,0x65f6d869c0,2325,"RecordWriteStub"
code-creation,Stub,3,211914,0x65f6d872e0,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,211917,0x65f6d87360,2303,"RecordWriteStub"
code-creation,Stub,3,211919,0x65f6d87c60,2261,"RecordWriteStub"
code-creation,Stub,3,211922,0x65f6d88540,2265,"RecordWriteStub"
code-creation,Stub,3,211924,0x65f6d88e20,2277,"RecordWriteStub"
code-creation,Stub,3,211926,0x65f6d89720,2292,"RecordWriteStub"
code-creation,Stub,3,211929,0x65f6d8a020,2300,"RecordWriteStub"
code-creation,Stub,3,211931,0x65f6d8a920,2262,"RecordWriteStub"
code-creation,Stub,3,211933,0x65f6d8b200,2258,"RecordWriteStub"
code-creation,Stub,3,211935,0x65f6d8bae0,2262,"RecordWriteStub"
code-creation,Stub,3,211938,0x65f6d8c3c0,2261,"RecordWriteStub"
code-creation,Handler,4,211940,0x65f6d8cca0,732,"An IC handler from the snapshot"
code-creation,Stub,3,211943,0x65f6d8cf80,2262,"RecordWriteStub"
code-creation,Stub,3,211945,0x65f6d8d860,2300,"RecordWriteStub"
code-creation,Stub,3,211947,0x65f6d8e160,699,"TransitionElementsKindStub"
code-creation,Stub,3,211950,0x65f6d8e420,978,"RecordWriteStub"
code-creation,Stub,3,211952,0x65f6d8e800,2250,"RecordWriteStub"
code-creation,Stub,3,211954,0x65f6d8f0e0,408,"CEntryStub"
code-creation,Stub,3,211957,0x65f6d8f280,990,"RecordWriteStub"
code-creation,Stub,3,211959,0x65f6d8f660,1002,"RecordWriteStub"
code-creation,Stub,3,211961,0x65f6d8fa60,2296,"RecordWriteStub"
code-creation,Stub,3,211964,0x65f6d90360,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,211966,0x65f6d904a0,1381,"RecordWriteStub"
code-creation,Stub,3,211968,0x65f6d90a20,2261,"RecordWriteStub"
code-creation,Stub,3,211971,0x65f6d91300,2261,"RecordWriteStub"
code-creation,Stub,3,211973,0x65f6d91be0,2261,"RecordWriteStub"
code-creation,Stub,3,211975,0x65f6d924c0,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,211978,0x65f6d926a0,1019,"CallICStub"
code-creation,Builtin,5,211980,0x65f6d92aa0,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,211982,0x65f6d92c20,459,"ToObject"
code-creation,Stub,3,211985,0x65f6d92e00,2258,"RecordWriteStub"
code-creation,Stub,3,211987,0x65f6d936e0,433,"ArrayConstructorStub"
